기준월,2014,2015,2016,2017,2018,평균,
01월,5618,5796,6262,8456,12661,7758.6,01월
02월,4766,5293,6043,7044,11913,7011.8,02월
03월,5626,6465,6870,7935,11509,7681,03월
04월,5974,6477,7264,8619,12319,8130.6,04월
05월,6626,7181,7792,9162,13093,8770.8,05월
06월,5795,5922,6958,8493,12511,7935.8,06월
07월,6041,6615,7057,8546,13760,8403.8,07월
08월,6026,6710,7282,9075,13156,8449.8,08월
09월,6492,7623,7162,10307,13721,9061,09월
10월,7294,7868,8058,12497,15280,10199.4,10월
11월,7026,7400,7993,13327,15055,10160.2,11월
12월,6407,6941,7563,12704,14466,9616.2,12월
